"회사명","공고제목","근무지역","주소","급여","근무시간","고용형태","직종","업종","경력조건","최소학력","최대학력","등록일","마감일","모집인원","모집내용","전형방법","접수방법","제출서류","담당부서","연락처","원본_근무조건"
"비지팅엔젤스안양동안지점","(평촌학원가근처) 3등급할아버지(99), 오전8:...","(14070)  경기도 안양시 동안구 부림로 55, , (평촌동, 초원대원아파트)","13941 경기도 안양시 동안구 평촌대로 358 (비산동, 두진빌딩)","시급10,320원 이상 ~ 13,000원 이하,","평일 : (근무시간) (오전) 8시 30분 ~ (오전) 11시 30분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-09-28","","- 3등급독거할아버지(99)-거동가능하며 인지도 양호함 - 오전8:30~오후2;30/ 월~토 (주6)...독거라 요일 협의가 어려움 - 식사도움, 정리정돈, 말벗 - 수당포함 시급;13,000 - 백영고등학교 근처 초원대원아파트 - 문의 및 지원 (031-8045-4818)","서류,면접","방문,기타(*사무실 전화 통화 선호함 031-421-4664/010-3911-9530)","이력서","","031-421-4664","평일 : (근무시간) (오전) 8시 30분 ~ (오전) 11시 30분, 주 6일 근무"
"검단방문요양센터","신장동] 4등급 할머니 재가 요양보호사 모집","(12959)  경기도 하남시 하남대로787번길 31, 그린나래 (신장동)","12959 경기도 하남시 하남대로787번길 31 (신장동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","그 외 기타 비거주 복지 서비스업","관계없음","학력무관","","26-08-03","채용시까지  26-10-01","","- 가사활동, 정서지원,병원동행  - 허리와 다리통증, 실버카로 자립적으로 보행하심 -  - 주5일 09:00~12:00  주 5일근무  - 시급13.100","서류","팩스,이메일","이력서","","031-794-6878","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"(A)비지팅엔젤스(강북미아지점)","[강북청소년문화정보도서관 인근/ 3등급 여자]  ...","(01168)  서울특별시 강북구 삼양로54나길 7-3, 면접시 상세주소 안내 (미아동)","01194 서울특별시 강북구 삼양로 171 (미아동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 3시 30분 ~ (오후) 6시 30분, 주 5일 근무","기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","신입","학력무관","","26-08-03","채용시까지  26-10-02","","*강북청소년문화정보도서관 인근/ 3등급 여자어르신 - 직무내용: 일상생활 지원 - 근무시간: 15:30~18:30, 주5일 근무 - 포괄시급: 시급 13,060원(기본 시급 + 주휴수당  등 포함)","면접","방문","이력서","","","평일 : (근무시간) (오후) 3시 30분 ~ (오후) 6시 30분, 주 5일 근무"
"서림폴리텍 주식회사","송파호반베르디움 아파트 미화원 모집","(05730)  서울특별시 송파구 동남로 342, 송파호반베르디움더퍼스트 (오금동, 송파호반베르디움더퍼스트)","04208 서울특별시 마포구 만리재로 83, 9층 (공덕동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 3시 00분, 주 6일 근무","기간의 정함이 있는 근로계약3 개월/ 계약기간 만료 후 상용직전환검토/ 파견근로 비희망/ 대체인력채용 비희망","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)(561101)","사업시설 유지？관리 서비스업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","*성실하고 친절한 성품의 미화원 모집합니다.*  1.근무장소 : 송파호반베르디움더퍼스트 아파트 (송파구 동남로 342)  2.근무시간 : 주 6일근무                   평   일 :  08시 ~ 15시( 휴게 1시간)                    토요일(3주1번) :  08시 ~ 11시  3.업무내용 : 미화원 (1명) - 건물 내 공용 부분 청소 (E/L, 비상계단, 복도, 현관, 커뮤니티 등)","서류,면접","팩스,고용24","이력서","","","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 3시 00분, 주 6일 근무"
"고사리노인복지센터","[신내동] 4등급(여자어르신) 오전/ 주6일 - ...","(02043)  서울특별시 중랑구 신내로 115, 임의주소기재 (신내동, 신내10단지신내아파트)","02043 서울특별시 중랑구 봉화산로 189, 4층 (신내동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(노인요양사)(550101)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","*4급여자(76세) *식사준비, 청소 등 일상생활지원 *9:00~12:00 / 주6일 *시급13,000원(기본 시급 10,320원 + 주휴·연차수당 포함)","면접","기타(전화 후 방문 ( 010-6488-9519 ))","기타(채용확정 시 : 노인학대범죄경력조회, 장애인학대범죄경력조회 동의서 각1부)","","02-3421-9515","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"소망방문요양센터","2등급 여자어르신 재가요양보호사 구인","(10073)  경기도 김포시 김포한강11로 322, 더파크뷰테라스 (운양동)","10068 경기도 김포시 김포한강8로 169, 중 왼쪽일부 (마산동, 신유프라자)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 1시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","26-10-02","","■대상 : 2등급 여자어르신 ■근무시간 :  주5일 09:00~13:00 ■침대에서 화장실 이동(휠체어 이동), 2인1조 목욕","면접","방문,팩스,기타(전화)","기타(요양보호사 자격증)","","031-990-9909","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 1시 00분, 주 5일 근무"
"참평안재가복지센터","요양보호사 구합니다","(15804)  경기도 군포시 산본로432번길 25, 1 (산본동, 한양목련아파트)","15834 경기도 군포시 쟁골2길 22 (금정동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","채용시까지  26-09-30","","4등급,여자 어르신 일상생활 지원,운동 도움,병원 동행    일상생활지원 시급 (13,000)은 주휴수당, 연차수당이 포함된 금액입니다.  담당자 외근이 잦아 기재된 휴대폰으로 연락주세요 010.8602.1974","서류,면접","방문","기타(자격증,건강 검진 결과지)","","031-391-1982","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"효사랑방문요양서비스센터","(채용대행) 재가요양보호사 모집","(14330)  경기도 광명시 서원로 25, . (소하동, 광명역세권휴먼시아)","14327 경기도 광명시 충현로4번길 10 (소하동, 동곡빌딩)","시급10,320원 이상 ~ 13,000원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","그 외 기타 비거주 복지 서비스업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","광명역세권소하휴먼시아 2단지 4등급 할머니  주 5일 오전 9시~12시 (토요일도 가능하신 분 우대) 일상 생활 지원, 신체 지원 등 요양 보호 사 업무 시급13,000원 (최저임금 + 각종 수당 포함된 금액)  문의 : 010-9001-6529  / 010-7668-2086","서류,면접","방문,기타(담당자와 통화 바랍니다.)","이력서,기타(요양보호사 자격증 사본)","경기도 광명시청","02-2680-5551","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"아들래노인주간보호센터","재가선생님모셔요","(11705)  경기도 의정부시 평화로 363-7, 한주5차아파트 (호원동, 회룡한주아파트)","11730 경기도 의정부시 경의로 196, 아들래노인주간보호센터 (신곡동)","시급10,320원 이상,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","중졸","대졸(2~3년)","26-08-03","채용시까지  26-09-30","","4등급. 86세  남자어르신 시급 :13500원 식사 및 청소도움  장소 : 의정부시 회룡로 254 근무시간 : 주5회   근무시간 오후1시-4시","면접","방문","이력서,기타(요양보호사자격증(개인식별번호 삭제))","","","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무"
"100세따듯한손노인방문요양센터","군포시 주공8단지  설악아파트 근무하실 재가요양보...","(15823)  경기도 군포시 수리산로 102, 0000동 (산본동, 설악아파트)","15865 경기도 군포시 번영로 489 (산본동, 중앙타워)","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","경력","학력무관","","26-08-03","채용시까지  26-10-02","","군포시 수리산로 102. (주공 8단지 설악아파트)에 사시는 수급자를 케어하실 요양보호사 1분을 모집합니다.                                  --------- 아                래----------   * 4등급 86세 수급자님 (여/할머니)  - 혼자 거동하십니다!    가사 및 일상생활지원, 신체활동지원 등 방문요양 급여서비스 제공관련 일체의 업무      1) 근무시간  : 오전 09시 ~ 정오 12시 (주5일)   2) 교 통  편  :  금정역, 산본역 (4호선)에서 약 2.5km / 2번,3-1번,30번 마을버스외 직행버스 다수   3) 시    급    :  13,300원(제반수당 일체포함)","서류,면접,기타(팩스로 제출하여도 됩니다)","방문,고용24","이력서,자기소개서","","031-398-1820","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"바른손케어재가복지센터","요양보호사 선생님 모십니다","(21572)  인천광역시 남동구 성말로53번길 27-4, . (구월동, 문화빌리지)","21545 인천광역시 남동구 남동대로884번길 66, (간석동) 바른손케어재가복지센터 (간석동)","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(550100)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-29","","*4등급 81세 여자 어르신. *일상생활 지원, 가사도움, 말벗지원 등 전반적인 재가서비스 제공. *포괄시급: 13,000원(기본 10,320원+각종 수당 포함).","면접","방문","기타(요양보호사 자격증. 1년이내 건강검진 결과지(채용시))","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"유리재가복지센터","군포시 산본동 여자어르신 요양보호사 구인","(15823)  경기도 군포시 수리산로 102, . (산본동, 설악아파트)","14906 경기도 시흥시 복지로 105-2 (대야동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 3시 00분 ~ (오후) 6시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-29","","* 대 상  자 : 4등급 여자어르신 * 근 무  지 : 군포시 산본동 설악주공 8단지 * 근무시간 : 오후 3시 ~ 오후 6시 (3시간) 월요일 ~금요일 주 5일 * 급      여 : 시급13,000원 (기본시급10,320원 + 주휴수당 +연차수당)  * 직무내용 : 식사도움, 생활공간 정리 등 일상생활 도움","면접","기타(전화로 면접날짜 협의 후 어르신댁 현장면접)","기타(요양보호사 자격증 1부)","","","평일 : (근무시간) (오후) 3시 00분 ~ (오후) 6시 00분, 주 5일 근무"
"호가재가복지센터","4등급 남자어르신","(14627)  경기도 부천시 원미구 심중로27번길 39-6, . (중동)","14585 경기도 부천시 원미구 부흥로187번길 9-2","시급10,320원 이상,","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","* 4등급 남자어르신(일상생활지원) * 주5일(월~금),   오전 8-11 * 13000원----수당포함","서류,면접","방문","이력서","","","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 5일 근무"
"기쁜동행재가복지센터","요양보호사 구인","(21364)  인천광역시 부평구 부평대로165번길 102-7, 103동 (청천동, 산호타운)","21311 인천광역시 부평구 평천로136번길 23-2, 인천광역시 부평구 평천로136번길 23-2 (청천동) (청천동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 3시 00분 ~ (오후) 6시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-09-29","","**재가  요양보호사 구인** ▶대상:5등급 남자어르신 인지프로그램과 일상생활함께하기 시급 : 13,000","면접","고용24","이력서,기타(이력서 요양보호사 자격증 치매이수증  )","","032-504-3868","평일 : (근무시간) (오후) 3시 00분 ~ (오후) 6시 00분, 주 5일 근무"
"아이엘퍼스트","아이엘퍼스트에서 플라스틱 제품 포장 및 검수 업무...","(17304)  경기도 이천시 신둔면 황무로287번길 124, 아이엘퍼스트","17304 경기도 이천시 신둔면 황무로287번길 124, 아이엘퍼스트","시급10,320원 이상,","평일 : (근무시간) (오전) 8시 30분 ~ (오후) 5시 30분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","플라스틱제품 조립원 및 검사원(852402)","그 외 기타 플라스틱 제품 제조업","관계없음","학력무관","","26-08-03","채용시까지  26-09-29","","[모집직무] 제조공정, 포장작업, 검수작업, 생산라인  [직무소개] 아이엘퍼스트는 플라스틱 식품용기 및 베이커리 용품을 생산하는 회사입니다.  우리는 단순 생산 및 포장 업무를 수행하는 팀원을 찾고 있습니다.  업무내용으로는 단순 생산 및 포장을 담당하시게 됩니다.  기계에서 나오는 플라스틱 제품을 단순 검수 및 박스안에 넣는 포장을 하시게 됩니다.  평일 근무시간 08:30~17:30.  OT 18:00~20:30(희망자 선택가능)  첫째,셋째 토요일 특근 08:30~17:00(희망자 선택가능)   처음 3개월 수습기간중에는 최저임금, 수습이후 개인 능력평가후 +200~500원이 추가됩니다.  국적 성별 나이 관계없이 누구나 어렵지 않게 근무하실 수 있습니다.  [주요업무] - 생산 라인에서 나온 플라스틱 제품 검수 - 제품을 박스에 포장 - 박스 무게 5~10kg 박스 처리 - 작업 공정의 효율성을 유지하기 위한 노력  * 실업급여수급자의 경우 실제 취업의사 없이 입사지원을 자제하여 주시기 바랍니다.  이천시내 통근차량 점심 식사제공 (OT시 저녁제공) 경강선 신둔도예촌역 2km 24번 버스 인후리정거장","서류,면접","고용24","이력서,자기소개서","","031-633-1567","평일 : (근무시간) (오전) 8시 30분 ~ (오후) 5시 30분, 주 5일 근무"
"박종근 농장","단순 직종 구인","(12445)  경기도 가평군 상면 청군로 834-60","12445 경기도 가평군 상면 청군로 834-60","시급10,320원 이상,","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 6시 00분, 주 6일 근무","기간의 정함이 있는 근로계약11 개월/ 파견근로 비희망/ 대체인력채용 비희망","어업 관련 단순 종사원(905300)","어업","관계없음","학력무관","","26-08-03","26-10-02","","우렁이 사육","서류","팩스","이력서","","","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 6시 00분, 주 6일 근무"
"늘기쁜주간보호센터","재가 요양보호사 구인 (양주 백석)","(11508)  경기도 양주시 백석읍 고릉말로46번길 12, 상세주소 면접시확인_주소임의기재 (휴먼시아)","11506 경기도 양주시 백석읍 부흥로 963","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","공중 보건 의료업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","- 5등급  할머니 (독거,80대, 휴먼시아) - 치매교육이수자 필수 - 09:00~12:00 (주5일근무) - 시급 13,000원 ( 기본시급 10320원+주휴수당등 제수당포함)  * 상세주소지 면접시 확인-임의주소기재","면접","기타(권명순 센터장 통화 010-8334-3545 , 031-878-3545 후 면접실시.)","이력서","","031-878-3545","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"기쁜동행재가복지센터","요양보호사 구인","(21435)  인천광역시 부평구 마장로25번길 19, . (십정동)","21311 인천광역시 부평구 평천로136번길 23-2, 인천광역시 부평구 평천로136번길 23-2 (청천동) (청천동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-09-29","","**재가  요양보호사 구인** ▶대상:4등급 여자어르신 케어 시급 : 13,000 원 (각종 수당 포함) 주5일 오전 9시 ~ 12시","면접","고용24","이력서,기타(이력서 요양보호사 자격증  )","","032-504-3868","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"따스아리 재가요양복지센터","[구로1동]  재가요양보호사 모집","(08323)  서울특별시 구로구 구일로10길 49 (구로동, 다원그린빌)","08302 서울특별시 구로구 가마산로 268 (구로동, 대림역와이즈플레이스)","시급10,320원 이상 ~ 13,200원 이하,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","[구로1동] 다원그린빌  - 대상자: 3등급 할머니/ 거동가능, 딸과 거주(낮엔 혼자계심) - 직무내용: 신체지원, 정서지원, 가사지원 등 - 근로시간: 13:00~16:00 / 주6일 - 급여:  시급 10,320원 [포괄시급 13,200원] *교포 지원 가능  * 이용자의 상황에 따라 근로시간 외 추가시간이 있을 수 있음.","서류,면접","방문,기타(전화 010-9006-1316)","이력서","","","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 6일 근무"
"좋은사람들재가요양복지센타","가양7단지 4등급 남자 어르신 요양보호사님 구인합...","(07531)  서울특별시 강서구 허준로 209, 7단지아파트 (가양동, 가양주공영구임대아파트)","07766 서울특별시 강서구 월정로 142, 3층 304호 (화곡동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","기타 사회서비스 관리 행정","관계없음","학력무관","","26-07-31","채용시까지  26-09-27","","모집직종: 요양보호사(1명) 직무내용: 4등급 70대 독거 남자어르신 식사준비, 가사도움, 청소 , 외출동행 요양보호사 업무 범위 내 근무지: 서울 강서구 허준로 가양7단지 아파트 근무시간: 08:00-11:00(주6일 18시간) 급여: 시급 10320원(제수당포함 13,500) 비고: 퇴직금, 상용직, 4대보험 지원방법: 전화, 면접","면접","방문,기타(전화)","이력서,기타(자격증 사본. 1년이내 건강검진)","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"드림재가복지센터","시흥초등학교 근처 5등급 여어르신 / 요양보호사 ...","(08625)  서울특별시 금천구 독산로25길 40-5, .. (시흥동)","01345 서울특별시 도봉구 방학로2길 35, 2층 전부 (방학동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","26-09-30","","* 5등급 여어르신 * 근무장소 : 시흥초등학교 근처 * 근무시간 : 주5일 1시~4시 * 근무내용 : 말벗, 가사, 청소 등 일상생활 도움 * 시급10,320원 (주휴수당 등 포함 시 시급 13,100원)  * 치매교육이수증 필수","면접","방문","기타(요양보호사자격증, 건강검진확인서)","","","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무"
"성재노인복지재가센터","[소사본동] 재가 요양보호사 채용","(14768)  경기도 부천시 소사구 소사로126번길 59-1, . (소사본동)","21091 인천광역시 계양구 계양대로 82 (작전동)","시급10,320원 이상,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","26-09-30","","4등급, 여자어르신 재가요양업무 - 13,200원(제수당 포함)","서류,면접","방문","이력서","","","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무"
"압구정방문요양재가센터","요양보호사 구인","(06005)  서울특별시 강남구 압구정로29길 69, . (압구정동, 현대아파트)","03009 서울특별시 종로구 평창문화로 87 (평창동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 2시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(550100)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-14","","- 강남구 압구정로29길 69, 현대아파트 / 4등급 할머니 / 기본시급 10,320 (주휴 및 연차수당 등 포함 13,000원)","서류,면접","방문,우편,팩스,기타(전화 후 방문)","이력서,자기소개서","","","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 2시 00분, 주 5일 근무"
"가정재가노인복지센터","(부평동) 재가요양보호사 구인","(21391)  인천광역시 부평구 부흥로334번길 61, 소재 (부평동)","21536 인천광역시 남동구 인주대로751번길 19, 1층 (구월동)","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","-(부평동)진흥종합시장 4등급(남) -09~12시,주5일 -시급 제수당=>13,000원","면접,기타(전화)","방문,기타(전화)","이력서","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"우리재가방문요양센터","(연수동) 투석어르신 병원동행 요양보호사 채용","(21974)  인천광역시 연수구 원인재로 88 (동춘동, 대우삼환아파트)","21974 인천광역시 연수구 원인재로 88 (동춘동, 대우삼환아파트)","시급10,320원 이상,","평일 :  월,금 :  09:50~11:20+14:30~16:00 ▷신장 투석으로 나사렛병원 동행   화,목(토) : 09:00~12:00 가사지원, 주 4일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-07-31","26-09-30","","[연수동] 삼환아파트 80후반 여자어르신(신장투석) 재가  ▶ 032-719-3952(일자리센터)  - 주4일, 월,화,목,금 또는 월,화,금,토    월,금 :  09:50~11:20 + 14:30~16:00 ▷신장 투석으로 나사렛병원 동행   화,목(토) : 09:00~12:00 ▷가정케어  ▶차량소지 필수!!!( 주유비 50,000원 별도 지급) - 시급 : 13,200원(수당포함)","서류,면접","기타(통화후 면접약속 032-719-3952(일자리센터 안내))","이력서","","","평일 :  월,금 :  09:50~11:20+14:30~16:00 ▷신장 투석으로 나사렛병원 동행   화,목(토) : 09:00~12:00 가사지원, 주 4일 근무"
"해성재가노인복지센터","돌봄SOS 요양보호사 구인 [창동, 여어르신]","(01477)  서울특별시 도봉구 덕릉로54길 38-5 (창동)","01479 서울특별시 도봉구 덕릉로60길 96","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","[무등급 여어르신] 돌봄SOS -근무시간: 주3일 수, 목, 금 / 오후 14:00~17:00 (3시간 근무) -대상자 : 거동가능, 반려묘, 반려견 있음.  -기간 : 8/5~9/22 -업무: 가사서비스, 식사도움, 병원동행, 말벗   -근무지: 창동, 덕릉로 54길 38-5  -시급: 10,320원   전화문의 : 010-9152-6291","면접","방문","기타(요양보호사 자격증, 건강검진결과지 )","","","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무"
"광명산업","플라스틱 제품 조립원 모집","(18578)  경기도 화성시 만세구 팔탄면 버들로1362번길 67-20, (화당리)","18578 경기도 화성시 만세구 팔탄면 버들로1362번길 67-20, (화당리)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 30분 ~ (오후) 5시 30분, 고정연장 1시간 있음 중식휴게시간 12시30분~13시30분 석식휴게시간 17시30분~18시00분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","플라스틱 금형 제조원(813102)","그 외 기타 전자부품 제조업","관계없음","학력무관","","26-07-31","채용시까지  26-09-28","","정수기, 프린터기 조립하는 조립원 모집 합니다. 조립팀, 검사팀 따로 있으니 자세한 사항은 문의 바랍니다","서류,면접","고용24","이력서","","","평일 : (근무시간) (오전) 8시 30분 ~ (오후) 5시 30분, 고정연장 1시간 있음 중식휴게시간 12시30분~13시30분 석식휴게시간 17시30분~18시00분, 주 5일 근무"
"둥지방문요양센터","[상봉동] 3등급(남자어르신) 오전/ 주5일 - ...","(02086)  서울특별시 중랑구 망우로55길 39, .","11672 경기도 의정부시 흥선로82번길 28, 1층 (가능동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-31","채용시까지  26-09-30","","- 망우역인근 (3등급/남자어르신)  - 배우자님 도와 기저귀케어, 일반요양 업무 - 포괄임금 13,500원 - 09:00-12:00 (주5일)","면접","방문,기타(전화 후 방문 ( 010-2751-6677))","기타(요양보호사자격증(개인식별번호 삭제) 1년 이내 건강검진표 제출(채용시)  )","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
